country,basis,year,peak_gw,peaker_cap_gw,short_hours,peaker_energy_gwh,peaker_flh,unserved_gwh,lol_hours
BG,hp_elec,2030,0.69,0.0,0,0.0,0.0,0.0,0
BG,hp_elec,2040,2.11,0.0,0,0.0,0.0,0.0,0
BG,hp_elec,2050,2.53,0.0,0,0.0,0.0,0.0,0
BG,thermal,2025,16.0,5.63,103,205.0,36.0,0.0,0
BG,thermal,2030,15.62,5.25,97,175.7,33.0,0.0,0
BG,thermal,2040,15.08,4.71,60,145.3,31.0,0.0,0
BG,thermal,2050,14.89,4.52,60,135.5,30.0,0.0,0
CH,total_elec,2025,13.03,0.0,0,0.0,0.0,0.0,0
CH,total_elec,2030,14.49,0.49,7,2.1,4.0,0.7,3
CH,total_elec,2040,16.39,1.72,26,18.6,11.0,1.4,3
CH,total_elec,2050,18.53,3.44,115,129.6,38.0,1.5,3
CH,hp_elec,2025,4.42,0.0,0,0.0,0.0,0.0,0
CH,hp_elec,2030,5.04,0.0,0,0.0,0.0,0.0,0
CH,hp_elec,2040,5.64,0.0,0,0.0,0.0,0.0,0
CH,hp_elec,2050,6.52,0.0,0,0.0,0.0,0.0,0
CH,thermal,2025,39.02,13.74,103,500.0,36.0,0.0,0
CH,thermal,2030,38.62,13.34,97,468.8,35.0,0.0,0
CH,thermal,2040,36.99,11.71,60,366.1,31.0,0.0,0
CH,thermal,2050,34.74,9.46,54,255.6,27.0,0.0,0
CY,total_elec,2025,1.01,0.0,0,0.0,0.0,0.0,0
CY,total_elec,2030,1.08,0.0,0,0.0,0.0,0.0,0
CY,total_elec,2040,1.18,0.0,0,0.0,0.0,0.0,0
CY,total_elec,2050,1.3,0.0,0,0.0,0.0,0.0,0
CY,hp_elec,2025,0.3,0.0,0,0.0,0.0,0.0,0
CY,hp_elec,2030,0.29,0.0,0,0.0,0.0,0.0,0
CY,hp_elec,2040,0.27,0.0,0,0.0,0.0,0.0,0
CY,hp_elec,2050,0.28,0.0,0,0.0,0.0,0.0,0
CY,thermal,2025,1.79,0.47,54,12.2,26.0,0.0,0
CY,thermal,2030,1.87,0.55,60,15.9,29.0,0.0,0
CY,thermal,2040,2.0,0.68,97,23.2,34.0,0.0,0
CY,thermal,2050,2.13,0.81,190,34.9,43.0,0.0,0
CZ,total_elec,2025,10.67,3.32,2038,2394.5,720.0,0.0,3
CZ,total_elec,2030,12.62,5.26,3603,6277.4,1194.0,0.1,3
CZ,total_elec,2040,16.63,7.08,1276,2717.1,384.0,0.2,3
CZ,total_elec,2050,19.45,7.47,265,678.9,91.0,0.8,3
CZ,hp_elec,2025,0.85,0.0,0,0.0,0.0,0.0,0
CZ,hp_elec,2030,1.98,0.0,0,0.0,0.0,0.0,0
CZ,hp_elec,2040,4.97,0.0,0,0.0,0.0,0.0,0
CZ,hp_elec,2050,6.54,0.0,0,0.0,0.0,0.0,0
CZ,thermal,2025,35.03,12.34,103,449.5,36.0,0.0,0
CZ,thermal,2030,35.04,12.35,103,450.5,36.0,0.0,0
CZ,thermal,2040,34.97,12.28,103,444.5,36.0,0.0,0
CZ,thermal,2050,35.27,12.58,103,468.8,37.0,0.0,0
DE,total_elec,2025,84.81,39.44,1592,19042.6,483.0,5.4,3
DE,total_elec,2030,115.83,38.08,329,3452.4,91.0,8.9,3
DE,total_elec,2040,129.62,56.29,149,2438.2,43.0,6.2,3
DE,total_elec,2050,152.51,87.69,151,4202.7,48.0,10.8,3
DE,hp_elec,2025,9.18,0.0,0,0.0,0.0,0.0,0
DE,hp_elec,2030,36.86,0.0,0,0.0,0.0,0.0,0
DE,hp_elec,2040,39.5,0.0,0,0.0,0.0,0.0,0
DE,hp_elec,2050,52.95,0.0,0,0.0,0.0,0.0,0
DE,thermal,2025,344.35,121.27,103,4416.6,36.0,0.0,0
DE,thermal,2030,334.95,111.87,97,3697.7,33.0,0.0,0
DE,thermal,2040,316.09,93.01,60,2704.1,29.0,0.0,0
DE,thermal,2050,297.44,74.36,42,1851.5,25.0,0.0,0
DK,total_elec,2025,6.45,3.52,1621,1629.8,462.0,0.2,3
DK,total_elec,2030,8.65,5.06,2255,3381.7,668.0,0.9,3
